# experiment=depth_vs_time engine=helix-f3270d5 date=20260808-023215
# suite=tests/data/stockfish-bench-all.epd pvs=on nmp=on reps=3 positions=309
fen_id,budget_ms,rep,pvs,nmp,completed_depth,seldepth,nodes,qnodes,researches,null_cutoffs,tt_probes,tt_hits,tt_stores,tt_replaces,tt_hit_rate,time_ms,bestmove,stop_reason
0,10,0,on,on,4,9,19456,9330,0,20,2728,477,1327,2,0.1749,8,g1f3,hard_time
0,10,1,on,on,4,9,20480,9815,0,21,2798,506,1371,2,0.1808,8,g1f3,hard_time
0,10,2,on,on,4,9,20480,9815,0,21,2798,506,1371,2,0.1808,8,g1f3,hard_time
0,25,0,on,on,5,16,46080,22688,0,71,9115,1239,3553,3,0.1359,23,g1f3,hard_time
0,25,1,on,on,5,16,45056,22218,0,60,8374,1153,3326,3,0.1377,22,g1f3,hard_time
0,25,2,on,on,5,16,45056,22218,0,60,8374,1153,3326,3,0.1377,22,g1f3,hard_time
0,50,0,on,on,6,16,83968,41896,3,258,19570,3079,6832,5,0.1573,46,g1f3,hard_time
0,50,1,on,on,6,16,83968,41896,3,258,19570,3079,6832,5,0.1573,46,g1f3,hard_time
0,50,2,on,on,6,16,84992,42391,3,258,19614,3079,6870,5,0.1570,47,g1f3,hard_time
0,100,0,on,on,6,16,182272,92197,21,554,36519,6238,12475,29,0.1708,95,g1f3,hard_time
0,100,1,on,on,6,16,183296,92755,21,562,37126,6285,12666,29,0.1693,95,g1f3,hard_time
0,100,2,on,on,6,16,183296,92755,21,562,37126,6285,12666,29,0.1693,94,g1f3,hard_time
0,250,0,on,on,7,21,430080,224579,31,1699,94166,15946,28403,236,0.1693,237,e2e4,hard_time
0,250,1,on,on,7,21,432128,225920,31,1712,95371,16016,28710,240,0.1679,237,e2e4,hard_time
0,250,2,on,on,7,21,433152,226729,31,1714,95975,16023,28790,241,0.1669,237,e2e4,hard_time
0,500,0,on,on,8,21,776870,418051,35,4153,193726,31254,54047,840,0.1613,456,e2e4,soft_time
0,500,1,on,on,8,21,776870,418051,35,4153,193726,31254,54047,840,0.1613,462,e2e4,soft_time
0,500,2,on,on,8,21,776870,418051,35,4153,193726,31254,54047,840,0.1613,456,e2e4,soft_time
0,1000,0,on,on,8,22,1716224,923675,47,6805,354913,52321,98566,2834,0.1474,950,e2e4,hard_time
0,1000,1,on,on,8,22,1705984,918668,47,6774,354292,51934,98254,2832,0.1466,950,e2e4,hard_time
0,1000,2,on,on,8,22,1707008,919162,47,6774,354328,51970,98290,2832,0.1467,949,e2e4,hard_time
1,10,0,on,on,3,12,12288,8272,0,0,1920,94,368,0,0.0490,9,e2a6,hard_time
1,10,1,on,on,3,12,12288,8272,0,0,1920,94,368,0,0.0490,9,e2a6,hard_time
1,10,2,on,on,3,12,12288,8272,0,0,1920,94,368,0,0.0490,9,e2a6,hard_time
1,25,0,on,on,3,17,28672,20544,5,0,5271,333,888,0,0.0632,22,e2a6,hard_time
1,25,1,on,on,3,17,29696,21515,5,0,5685,335,910,0,0.0589,24,e2a6,hard_time
1,25,2,on,on,3,17,29696,21515,5,0,5685,335,910,0,0.0589,23,e2a6,hard_time
1,50,0,on,on,3,18,51200,41942,5,0,12497,434,1389,0,0.0347,46,e2a6,hard_time
1,50,1,on,on,3,18,52224,42894,5,0,12763,443,1421,0,0.0347,47,e2a6,hard_time
1,50,2,on,on,3,18,51200,41942,5,0,12497,434,1389,0,0.0347,47,e2a6,hard_time
1,100,0,on,on,4,18,88795,77077,5,1,24218,801,2416,3,0.0331,86,d5e6,soft_time
1,100,1,on,on,4,18,88795,77077,5,1,24218,801,2416,3,0.0331,86,d5e6,soft_time
1,100,2,on,on,4,18,88795,77077,5,1,24218,801,2416,3,0.0331,86,d5e6,soft_time
1,250,0,on,on,5,23,282934,209892,8,76,57187,3434,6857,20,0.0600,223,e2a6,soft_time
