# experiment=depth_vs_time engine=helix-f3270d5 date=20260808-025921
# suite=tests/data/stockfish-bench-all.epd pvs=on nmp=off reps=3 positions=309
fen_id,budget_ms,rep,pvs,nmp,completed_depth,seldepth,nodes,qnodes,researches,null_cutoffs,tt_probes,tt_hits,tt_stores,tt_replaces,tt_hit_rate,time_ms,bestmove,stop_reason
0,10,0,on,off,4,11,20480,9731,0,0,3381,733,1541,2,0.2168,9,g1f3,hard_time
0,10,1,on,off,4,11,20480,9731,0,0,3381,733,1541,2,0.2168,8,g1f3,hard_time
0,10,2,on,off,4,11,20480,9731,0,0,3381,733,1541,2,0.2168,9,g1f3,hard_time
0,25,0,on,off,5,12,46080,22209,0,0,9573,2059,3714,4,0.2151,22,g1f3,hard_time
0,25,1,on,off,5,12,46080,22209,0,0,9573,2059,3714,4,0.2151,23,g1f3,hard_time
0,25,2,on,off,5,12,46080,22209,0,0,9573,2059,3714,4,0.2151,23,g1f3,hard_time
0,50,0,on,off,5,13,71680,34470,0,0,25163,5283,8305,13,0.2100,46,g1f3,hard_time
0,50,1,on,off,5,13,71680,34470,0,0,25163,5283,8305,13,0.2100,46,g1f3,hard_time
0,50,2,on,off,6,13,73349,35186,0,0,26404,5582,8681,13,0.2114,47,g1f3,soft_time
0,100,0,on,off,6,18,151552,75667,11,0,48604,11084,15128,53,0.2280,94,g1f3,hard_time
0,100,1,on,off,6,18,151552,75667,11,0,48604,11084,15128,53,0.2280,95,g1f3,hard_time
0,100,2,on,off,6,18,152576,76059,11,0,49343,11338,15344,53,0.2298,95,g1f3,hard_time
0,250,0,on,off,6,18,440320,215556,12,0,108955,35099,34257,287,0.3221,236,g1f3,hard_time
0,250,1,on,off,6,18,442368,216548,12,0,109117,35166,34342,289,0.3223,236,g1f3,hard_time
0,250,2,on,off,6,18,432128,211694,12,0,108103,34798,33785,264,0.3219,237,g1f3,hard_time
0,500,0,on,off,7,21,769024,393792,25,0,232819,64349,65180,1300,0.2764,475,e2e4,hard_time
0,500,1,on,off,7,21,769024,393792,25,0,232819,64349,65180,1300,0.2764,474,e2e4,hard_time
0,500,2,on,off,7,21,771072,394942,25,0,233837,64500,65590,1317,0.2758,476,e2e4,hard_time
0,1000,0,on,off,8,21,1368719,694960,25,0,515161,156622,137310,5536,0.3040,939,e2e4,soft_time
0,1000,1,on,off,8,21,1368719,694960,25,0,515161,156622,137310,5536,0.3040,939,e2e4,soft_time
0,1000,2,on,off,8,21,1368719,694960,25,0,515161,156622,137310,5536,0.3040,937,e2e4,soft_time
1,10,0,on,off,3,12,8082,5741,0,0,1362,50,183,0,0.0367,6,e2a6,soft_time
1,10,1,on,off,3,12,12288,8272,0,0,1920,94,368,0,0.0490,9,e2a6,hard_time
1,10,2,on,off,3,12,8082,5741,0,0,1362,50,183,0,0.0367,6,e2a6,soft_time
1,25,0,on,off,3,17,28672,20548,5,0,5277,333,888,0,0.0631,23,e2a6,hard_time
1,25,1,on,off,3,17,28672,20548,5,0,5277,333,888,0,0.0631,23,e2a6,hard_time
1,25,2,on,off,3,17,28672,20548,5,0,5277,333,888,0,0.0631,22,e2a6,hard_time
1,50,0,on,off,3,18,51200,41959,5,0,12505,434,1389,0,0.0347,47,e2a6,hard_time
1,50,1,on,off,3,18,51200,41959,5,0,12505,434,1389,0,0.0347,46,e2a6,hard_time
1,50,2,on,off,3,18,51200,41959,5,0,12505,434,1389,0,0.0347,47,e2a6,hard_time
1,100,0,on,off,4,18,88432,76751,5,0,24126,800,2421,3,0.0332,85,d5e6,soft_time
1,100,1,on,off,4,18,88432,76751,5,0,24126,800,2421,3,0.0332,85,d5e6,soft_time
1,100,2,on,off,4,18,88432,76751,5,0,24126,800,2421,3,0.0332,85,d5e6,soft_time
1,250,0,on,off,4,23,290816,216247,8,0,61300,4699,8655,30,0.0767,237,d5e6,hard_time
1,250,1,on,off,4,23,290816,216247,8,0,61300,4699,8655,30,0.0767,237,d5e6,hard_time
1,250,2,on,off,4,23,288768,214681,8,0,60820,4688,8632,30,0.0771,236,d5e6,hard_time
1,500,0,on,off,5,23,586752,432520,8,0,128875,11407,23760,186,0.0885,475,e2a6,hard_time
1,500,1,on,off,5,23,581632,427736,8,0,127238,11358,23624,183,0.0893,475,e2a6,hard_time
1,500,2,on,off,5,23,584704,430605,8,0,128149,11384,23709,184,0.0888,475,e2a6,hard_time
1,1000,0,on,off,5,25,1064960,875872,8,0,280051,18666,36727,481,0.0667,950,e2a6,hard_time
1,1000,1,on,off,5,25,1060864,872145,8,0,278759,18552,36598,478,0.0666,949,e2a6,hard_time
1,1000,2,on,off,5,25,1057792,869288,8,0,277932,18487,36525,473,0.0665,950,e2a6,hard_time
2,10,0,on,off,5,11,14336,7106,2,0,5153,1092,2002,0,0.2119,9,b4f4,hard_time
2,10,1,on,off,5,11,14336,7106,2,0,5153,1092,2002,0,0.2119,9,b4f4,hard_time
2,10,2,on,off,5,11,14336,7106,2,0,5153,1092,2002,0,0.2119,9,b4f4,hard_time
2,25,0,on,off,6,12,40960,19678,4,0,11116,3178,4594,4,0.2859,22,b4f4,hard_time
2,25,1,on,off,6,12,38912,18726,4,0,10847,3039,4441,3,0.2802,22,b4f4,hard_time
2,25,2,on,off,6,12,40960,19678,4,0,11116,3178,4594,4,0.2859,23,b4f4,hard_time
