# experiment=depth_vs_time engine=helix-f3270d5 date=20260813-150721
# suite=tests/data/stockfish-bench-all.epd pvs=off nmp=on reps=3 positions=309
fen_id,budget_ms,rep,pvs,nmp,completed_depth,seldepth,nodes,qnodes,researches,null_cutoffs,tt_probes,tt_hits,tt_stores,tt_replaces,tt_hit_rate,time_ms,bestmove,stop_reason
0,10,0,off,on,4,9,12288,5889,0,17,2233,324,990,1,0.1451,8,g1f3,hard_time
0,10,1,off,on,4,9,15360,7361,0,18,2469,391,1141,1,0.1584,8,g1f3,hard_time
0,10,2,off,on,4,9,18432,8844,0,18,2684,465,1284,1,0.1732,9,g1f3,hard_time
0,25,0,off,on,5,13,43008,21231,0,80,8388,1250,3220,3,0.1490,22,g1f3,hard_time
0,25,1,off,on,5,14,46080,22930,0,159,10347,1450,3760,3,0.1401,24,g1f3,hard_time
0,25,2,off,on,5,14,44032,21840,0,111,9019,1319,3375,3,0.1462,22,g1f3,hard_time
0,50,0,off,on,6,16,87040,44385,0,285,22058,2633,7305,11,0.1194,47,g1f3,hard_time
0,50,1,off,on,6,16,84992,43069,0,272,20785,2524,7004,10,0.1214,46,g1f3,hard_time
0,50,2,off,on,6,14,57916,29470,0,255,16158,1940,5324,4,0.1201,34,g1f3,soft_time
0,100,0,off,on,6,16,204800,103970,0,521,36325,5053,12700,42,0.1391,94,g1f3,hard_time
0,100,1,off,on,6,16,211968,107460,0,549,36980,5245,13000,46,0.1418,95,g1f3,hard_time
0,100,2,off,on,6,16,205824,104482,0,527,36395,5063,12730,43,0.1391,94,g1f3,hard_time
0,250,0,off,on,7,23,462848,247698,0,1372,95582,10582,27485,266,0.1107,236,e2e4,hard_time
0,250,1,off,on,7,23,453632,241131,0,1249,90222,10275,26468,251,0.1139,237,e2e4,hard_time
0,250,2,off,on,7,23,456704,242956,0,1294,91821,10400,26959,256,0.1133,237,e2e4,hard_time
0,500,0,off,on,8,23,769801,420751,0,3400,186227,20801,49291,835,0.1117,441,e2e4,soft_time
0,500,1,off,on,8,23,769801,420751,0,3400,186227,20801,49291,835,0.1117,433,e2e4,soft_time
0,500,2,off,on,8,23,769801,420751,0,3400,186227,20801,49291,835,0.1117,432,e2e4,soft_time
0,1000,0,off,on,8,23,1677312,932504,0,5852,390198,39499,96929,3135,0.1012,950,e2e4,hard_time
0,1000,1,off,on,8,23,1598464,891100,0,5748,381636,38679,94371,2956,0.1014,949,e2e4,hard_time
0,1000,2,off,on,8,23,1480704,821431,0,5371,352170,37000,88947,2637,0.1051,950,e2e4,hard_time
1,10,0,off,on,2,17,9216,7362,0,0,2120,37,154,0,0.0175,8,e2a6,hard_time
1,10,1,off,on,3,17,10526,8144,0,0,2234,50,183,0,0.0224,9,e2a6,soft_time
1,10,2,off,on,2,17,9216,7362,0,0,2120,37,154,0,0.0175,8,e2a6,hard_time
1,25,0,off,on,3,17,28672,21189,0,0,5633,214,1341,0,0.0380,24,e2a6,hard_time
1,25,1,off,on,3,17,25600,18648,0,0,4927,170,1088,0,0.0345,22,e2a6,hard_time
1,25,2,off,on,3,17,26624,19450,0,0,5166,208,1186,0,0.0403,23,e2a6,hard_time
1,50,0,off,on,4,18,39290,29867,0,1,8592,566,2183,3,0.0659,34,d5e6,soft_time
1,50,1,off,on,4,18,52224,40314,0,1,12477,635,2463,3,0.0509,47,d5e6,hard_time
1,50,2,off,on,4,18,39290,29867,0,1,8592,566,2183,3,0.0659,36,d5e6,soft_time
1,100,0,off,on,4,22,87040,73111,0,7,25714,924,3239,4,0.0359,95,d5e6,hard_time
1,100,1,off,on,4,22,88064,74090,0,7,26176,940,3252,4,0.0359,95,d5e6,hard_time
1,100,2,off,on,4,22,88064,74090,0,7,26176,940,3252,4,0.0359,94,d5e6,hard_time
1,250,0,off,on,5,23,278528,199835,0,171,60262,4065,10027,34,0.0675,237,e2a6,hard_time
1,250,1,off,on,5,23,288768,208860,0,213,63972,4184,10548,37,0.0654,237,e2a6,hard_time
1,250,2,off,on,5,23,289792,209758,0,213,64416,4189,10609,37,0.0650,238,e2a6,hard_time
1,500,0,off,on,5,23,508928,413548,0,1079,140233,7029,16111,108,0.0501,474,e2a6,hard_time
1,500,1,off,on,5,23,490496,396409,0,1040,132854,6874,15600,102,0.0517,474,e2a6,hard_time
1,500,2,off,on,5,23,499712,404700,0,1079,136019,7022,15968,105,0.0516,474,e2a6,hard_time
1,1000,0,off,on,6,23,1038336,829001,0,1420,274901,10042,24697,251,0.0365,950,e2a6,hard_time
1,1000,1,off,on,6,23,1094656,878253,0,1647,294924,10645,26489,293,0.0361,950,e2a6,hard_time
1,1000,2,off,on,6,23,1040384,830636,0,1420,275411,10057,24736,252,0.0365,950,e2a6,hard_time
2,10,0,off,on,6,11,11376,5737,0,74,2985,465,1109,1,0.1558,6,b4f4,soft_time
2,10,1,off,on,6,13,18432,9341,0,84,4484,747,1639,3,0.1666,9,b4f4,hard_time
2,10,2,off,on,6,11,11376,5737,0,74,2985,465,1109,1,0.1558,6,b4f4,soft_time
2,25,0,off,on,7,13,41984,20742,0,231,11761,2485,4072,4,0.2113,23,b4f4,hard_time
2,25,1,off,on,7,13,33533,16854,0,164,7271,1383,2684,3,0.1902,17,b4f4,soft_time
2,25,2,off,on,7,13,33533,16854,0,164,7271,1383,2684,3,0.1902,18,b4f4,soft_time
2,50,0,off,on,8,13,59624,29845,0,512,20752,4688,6523,10,0.2259,39,b4f4,soft_time
2,50,1,off,on,8,13,59624,29845,0,512,20752,4688,6523,10,0.2259,39,b4f4,soft_time
2,50,2,off,on,8,13,59624,29845,0,512,20752,4688,6523,10,0.2259,39,b4f4,soft_time
2,100,0,off,on,8,15,172032,85751,0,1156,45821,11312,15473,60,0.2469,94,b4f4,hard_time
2,100,1,off,on,8,15,165888,82646,0,1134,44555,11148,15017,56,0.2502,94,b4f4,hard_time
2,100,2,off,on,8,15,173056,86343,0,1156,46251,11321,15545,60,0.2448,94,b4f4,hard_time
2,250,0,off,on,10,15,367103,181207,0,4307,108288,28260,35306,413,0.2610,210,b4f4,soft_time
2,250,1,off,on,10,15,367103,181207,0,4307,108288,28260,35306,413,0.2610,209,b4f4,soft_time
2,250,2,off,on,10,15,367103,181207,0,4307,108288,28260,35306,413,0.2610,203,b4f4,soft_time
2,500,0,off,on,11,17,677779,334131,0,7495,194040,51934,64185,1315,0.2676,366,b4f4,soft_time
2,500,1,off,on,11,17,677779,334131,0,7495,194040,51934,64185,1315,0.2676,370,b4f4,soft_time
2,500,2,off,on,11,17,677779,334131,0,7495,194040,51934,64185,1315,0.2676,369,b4f4,soft_time
2,1000,0,off,on,12,18,1342367,646291,0,19937,427179,128403,134792,6006,0.3006,806,b4f4,soft_time
