# experiment=pvs_sweep engine=helix-f3270d5 date=20260808-073948
# suite=tests/data/stockfish-bench-all.epd budget_ms=1000 reps=3 min_depth=1..6 scout_after=1..5 positions=309
fen_id,fen,min_depth,scout_after,rep,completed_depth,seldepth,nodes,qnodes,researches,tt_probes,tt_hits,tt_hit_rate,time_ms,bestmove
0,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,1,1,0,8,22,1760256,947938,96,364016,53281,0.1464,952,e2e4
0,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,1,1,1,8,22,1725440,928631,96,356178,52584,0.1476,949,e2e4
0,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,1,1,2,8,22,1732608,932529,96,357342,52711,0.1475,949,e2e4
1,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 10,1,1,0,6,23,1092608,850807,46,263362,12225,0.0464,950,e2a6
1,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 10,1,1,1,6,23,1086464,845821,46,261569,12166,0.0465,949,e2a6
1,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 10,1,1,2,6,23,1100800,857185,46,265533,12338,0.0465,949,e2a6
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,1,1,0,12,19,1589248,760333,53,513700,178289,0.3471,949,b4f4
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,1,1,1,12,19,1577984,754800,53,509217,177094,0.3478,950,b4f4
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,1,1,2,12,19,1588224,759868,53,513518,178238,0.3471,950,b4f4
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,1,1,0,8,20,1610752,1007644,35,327299,41496,0.1268,949,f5d3
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,1,1,1,8,20,1630208,1022361,35,333765,42389,0.1270,950,f5d3
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,1,1,2,8,20,1611776,1008321,35,327687,41544,0.1268,949,f5d3
4,rq3rk1/ppp2ppp/1bnpN3/3N2B1/4P3/7P/PPPQ1PP1/2KR3R b - - 0 14,1,1,0,8,24,1484800,929373,27,410198,39222,0.0956,950,f7e6
4,rq3rk1/ppp2ppp/1bnpN3/3N2B1/4P3/7P/PPPQ1PP1/2KR3R b - - 0 14,1,1,1,8,24,1487872,931565,27,411495,39449,0.0959,949,f7e6
4,rq3rk1/ppp2ppp/1bnpN3/3N2B1/4P3/7P/PPPQ1PP1/2KR3R b - - 0 14,1,1,2,8,24,1491968,934667,27,413337,39687,0.0960,950,f7e6
5,r1bq1r1k/1pp1n1pp/1p1p4/4p2Q/4PpP1/1BNP4/PPP2P1P/3R1RK1 b - g3 0 14,1,1,0,7,21,1605632,984864,81,386795,30060,0.0777,950,f4f3
5,r1bq1r1k/1pp1n1pp/1p1p4/4p2Q/4PpP1/1BNP4/PPP2P1P/3R1RK1 b - g3 0 14,1,1,1,7,21,1627136,996950,81,390103,30447,0.0780,949,f4f3
5,r1bq1r1k/1pp1n1pp/1p1p4/4p2Q/4PpP1/1BNP4/PPP2P1P/3R1RK1 b - g3 0 14,1,1,2,7,21,1596416,979588,81,384957,29853,0.0775,949,f4f3
6,r3r1k1/2p2ppp/p1p1bn2/8/1q2P3/2NPQN2/PPP3PP/R4RK1 b - - 2 15,1,1,0,7,22,1779712,1081620,39,340584,21331,0.0626,949,b4b2
6,r3r1k1/2p2ppp/p1p1bn2/8/1q2P3/2NPQN2/PPP3PP/R4RK1 b - - 2 15,1,1,1,7,22,1811456,1103474,39,349482,21437,0.0613,950,b4b2
6,r3r1k1/2p2ppp/p1p1bn2/8/1q2P3/2NPQN2/PPP3PP/R4RK1 b - - 2 15,1,1,2,7,22,1801216,1096757,39,346996,21398,0.0617,950,b4b2
7,r1bbk1nr/pp3p1p/2n5/1N4p1/2Np1B2/8/PPP2PPP/2KR1B1R w kq - 0 13,1,1,0,8,23,1469623,912757,43,354134,43630,0.1232,940,f4e5
7,r1bbk1nr/pp3p1p/2n5/1N4p1/2Np1B2/8/PPP2PPP/2KR1B1R w kq - 0 13,1,1,1,8,23,1469623,912757,43,354134,43630,0.1232,946,f4e5
7,r1bbk1nr/pp3p1p/2n5/1N4p1/2Np1B2/8/PPP2PPP/2KR1B1R w kq - 0 13,1,1,2,7,23,1467392,910858,43,352990,43523,0.1233,949,f4g3
8,r1bq1rk1/ppp1nppp/4n3/3p3Q/3P4/1BP1B3/PP1N2PP/R4RK1 w - - 1 16,1,1,0,6,22,1669120,1076187,51,369984,20811,0.0562,950,a1d1
8,r1bq1rk1/ppp1nppp/4n3/3p3Q/3P4/1BP1B3/PP1N2PP/R4RK1 w - - 1 16,1,1,1,6,22,1668096,1075602,51,369856,20802,0.0562,950,a1d1
8,r1bq1rk1/ppp1nppp/4n3/3p3Q/3P4/1BP1B3/PP1N2PP/R4RK1 w - - 1 16,1,1,2,6,22,1625088,1049935,51,363320,20444,0.0563,949,a1d1
9,4r1k1/r1q2ppp/ppp2n2/4P3/5Rb1/1N1BQ3/PPP3PP/R5K1 w - - 1 17,1,1,0,7,20,1766027,1011622,25,225561,20661,0.0916,793,e3g3
9,4r1k1/r1q2ppp/ppp2n2/4P3/5Rb1/1N1BQ3/PPP3PP/R5K1 w - - 1 17,1,1,1,7,20,1766027,1011622,25,225561,20661,0.0916,784,e3g3
9,4r1k1/r1q2ppp/ppp2n2/4P3/5Rb1/1N1BQ3/PPP3PP/R5K1 w - - 1 17,1,1,2,7,20,1766027,1011622,25,225561,20661,0.0916,798,e3g3
10,2rqkb1r/ppp2p2/2npb1p1/1N1Nn2p/2P1PP2/8/PP2B1PP/R1BQK2R b KQ - 0 11,1,1,0,7,25,1478656,934029,61,296945,22320,0.0752,949,e5g4
10,2rqkb1r/ppp2p2/2npb1p1/1N1Nn2p/2P1PP2/8/PP2B1PP/R1BQK2R b KQ - 0 11,1,1,1,7,25,1478656,934029,61,296945,22320,0.0752,950,e5g4
