# experiment=tree_reuse engine=helix-f3270d5 date=20260808-145828
# games=tests/data/thesis-games.txt budget_ms=500 mode=clear game_count=30
game_id,ply,side,mode,completed_depth,seldepth,nodes,qnodes,researches,tt_probes,tt_hits,tt_stores,tt_replaces,tt_hit_rate,time_ms,bestmove,played_move
0,0,w,clear,8,21,776870,418051,35,193726,31254,54047,840,0.1613,455,e2e4,c2c4
0,1,b,clear,8,21,800768,436279,19,191756,25004,52731,957,0.1304,475,e7e5,g8f6
0,2,w,clear,8,19,699468,374770,21,151489,19986,42008,674,0.1319,385,g1f3,b1c3
0,3,b,clear,8,21,738498,413567,30,179641,22172,44001,635,0.1234,449,e7e5,e7e5
0,4,w,clear,7,21,840704,466445,19,166842,16044,42396,649,0.0962,475,g1f3,g1f3
0,5,b,clear,7,20,581271,340295,20,132564,8259,27802,309,0.0623,360,b8c6,b8c6
0,6,w,clear,6,27,579584,381994,23,193632,15161,32933,349,0.0783,475,e2e4,g2g3
0,7,b,clear,6,23,668672,403164,34,182146,15382,35567,438,0.0844,475,f8b4,d7d5
0,8,w,clear,7,21,862208,489592,13,143227,12475,33632,400,0.0871,475,c4d5,c4d5
0,9,b,clear,7,20,796672,462604,16,149281,13838,33080,308,0.0927,474,f6d5,f6d5
0,10,w,clear,6,22,764928,441389,16,157631,16715,37293,389,0.1060,474,f1g2,e2e4
0,11,b,clear,7,21,637047,355943,7,104371,9590,23870,176,0.0919,356,d5c3,d5f6
0,12,w,clear,6,22,644037,395792,30,152895,12233,24774,194,0.0800,438,d2d3,f1b5
0,13,b,clear,7,25,569519,384961,13,167504,11313,24211,228,0.0675,466,c8g4,f8b4
0,14,w,clear,6,20,683008,409910,18,140955,12021,26126,174,0.0853,475,f3e5,f3e5
0,15,b,clear,6,19,572416,359275,24,146499,10518,25531,180,0.0718,475,d8d6,b4c3
0,16,w,clear,7,19,644096,385722,27,133876,14534,32387,331,0.1086,475,e5c6,e5c6
0,17,b,clear,7,18,659456,387242,18,127122,14371,33185,350,0.1130,475,d8d7,b7c6
0,18,w,clear,8,21,741376,444261,3,149925,20971,38558,588,0.1399,475,b5c6,b5c6
