# experiment=tt_sweep engine=helix-f3270d5 date=20260808-012157
# suite=tests/data/stockfish-bench-all.epd budget_ms=1000 reps=3 mb=1,4,16,64,256 entry_bytes=32 positions=309
fen_id,tt_mb,rep,completed_depth,seldepth,nodes,qnodes,tt_probes,tt_hits,tt_stores,tt_replaces,tt_hit_rate,time_ms,bestmove,stop_reason
0,1,0,8,25,1724416,941034,385595,37922,103544,58817,0.0983,950,e2e4,hard_time
0,1,1,8,25,1746944,953025,388993,38517,104654,59407,0.0990,950,e2e4,hard_time
0,1,2,8,25,1747968,953560,389090,38543,104689,59417,0.0991,949,e2e4,hard_time
1,1,0,6,24,1163264,897603,281240,10196,30013,8470,0.0363,950,e2a6,hard_time
1,1,1,6,24,1149952,887122,277668,10188,29852,8387,0.0367,949,e2a6,hard_time
1,1,2,6,24,1149952,887122,277668,10188,29852,8387,0.0367,950,e2a6,hard_time
2,1,0,11,18,1658880,802237,505273,97174,172712,125432,0.1923,949,b4f4,hard_time
2,1,1,11,18,1652736,799096,503231,97035,172020,124753,0.1928,950,b4f4,hard_time
2,1,2,11,18,1665024,805236,507792,97415,173573,126274,0.1918,950,b4f4,hard_time
3,1,0,7,21,2001920,1181738,299735,18634,75469,40791,0.0622,950,f5d3,hard_time
3,1,1,7,21,1993728,1176737,296985,18413,74848,40266,0.0620,949,f5d3,hard_time
3,1,2,7,21,1959936,1157091,292023,18273,73860,39429,0.0626,950,f5d3,hard_time
4,1,0,7,20,1750016,1107438,372999,15277,62208,29454,0.0410,949,f7e6,hard_time
4,1,1,7,20,1750016,1107438,372999,15277,62208,29454,0.0410,951,f7e6,hard_time
4,1,2,7,20,1728512,1089597,364752,15265,61904,29212,0.0419,950,f7e6,hard_time
5,1,0,7,28,1572864,979696,421475,26625,79427,39969,0.0632,949,f4f3,hard_time
5,1,1,7,28,1557504,969731,417477,26528,79011,39605,0.0635,950,f4f3,hard_time
5,1,2,7,28,1592320,992718,426447,26697,79985,40440,0.0626,950,f4f3,hard_time
6,1,0,7,23,1741824,1093811,363276,18580,67231,31961,0.0511,951,b4b2,hard_time
6,1,1,7,23,1777664,1121987,377766,19050,68937,33374,0.0504,950,b4b2,hard_time
6,1,2,7,23,1759232,1108851,371264,18775,67971,32587,0.0506,950,b4b2,hard_time
7,1,0,7,21,1538048,962549,378061,26865,92427,50898,0.0711,951,f4g3,hard_time
7,1,1,7,21,1522688,952447,374068,26749,91541,50099,0.0715,949,f4g3,hard_time
7,1,2,7,21,1527808,955902,375303,26802,91803,50339,0.0714,950,f4g3,hard_time
8,1,0,6,22,1646592,1078452,387850,13182,59142,28746,0.0340,949,a1d1,hard_time
8,1,1,6,22,1700864,1112969,399875,13399,60997,30171,0.0335,949,a1d1,hard_time
8,1,2,6,22,1662976,1089142,391231,13188,59541,29060,0.0337,951,a1d1,hard_time
9,1,0,6,22,1915904,1184216,324568,11460,57108,26940,0.0353,950,e3g3,hard_time
9,1,1,6,22,1926144,1189891,325604,11569,57339,27122,0.0355,950,e3g3,hard_time
9,1,2,6,22,1931264,1192510,326177,11588,57613,27337,0.0355,949,e3g3,hard_time
10,1,0,6,24,1269760,912329,360251,10229,53031,24271,0.0284,951,e5g4,hard_time
10,1,1,6,24,1246208,897111,355694,10129,52318,23720,0.0285,951,e5g4,hard_time
10,1,2,6,24,1281024,920364,363305,10251,53481,24610,0.0282,950,e5g4,hard_time
11,1,0,7,25,1587733,1035860,403584,15337,55552,24840,0.0380,923,d1c2,soft_time
11,1,1,7,25,1587733,1035860,403584,15337,55552,24840,0.0380,941,d1c2,soft_time
11,1,2,7,25,1587733,1035860,403584,15337,55552,24840,0.0380,915,d1c2,soft_time
12,1,0,6,21,1551360,1040442,413278,21429,66849,28244,0.0519,949,a3d6,hard_time
12,1,1,6,21,1538048,1031030,409321,21120,66235,27949,0.0516,950,a3d6,hard_time
12,1,2,6,21,1564672,1048565,415577,21679,67248,28405,0.0522,949,a3d6,hard_time
13,1,0,7,22,1740800,1028979,372036,24566,89369,50658,0.0660,951,h2h3,hard_time
13,1,1,7,22,1731584,1023739,369710,24428,88648,50025,0.0661,950,h2h3,hard_time
13,1,2,7,22,1725440,1020533,367090,23987,87729,49202,0.0653,949,h2h3,hard_time
14,1,0,8,20,1446060,863340,428492,31892,92731,53064,0.0744,874,e8e7,soft_time
14,1,1,8,20,1446060,863340,428492,31892,92731,53064,0.0744,867,e8e7,soft_time
14,1,2,8,20,1446060,863340,428492,31892,92731,53064,0.0744,866,e8e7,soft_time
15,1,0,6,19,1758208,1069357,374957,22708,78737,39829,0.0606,949,d8e7,hard_time
15,1,1,6,19,1730560,1051093,366591,22566,77249,38592,0.0616,949,d8e7,hard_time
15,1,2,6,19,1777664,1082877,382369,22851,80135,41038,0.0598,950,d8e7,hard_time
16,1,0,10,19,1473536,779454,521681,61669,168720,119528,0.1182,949,e4f6,hard_time
16,1,1,10,19,1460224,772156,515521,60862,166978,117842,0.1181,950,e4f6,hard_time
16,1,2,10,19,1457152,770438,514372,60777,166631,117499,0.1182,950,e4f6,hard_time
17,1,0,14,21,1632256,743184,558293,136174,203086,145830,0.2439,949,c4c5,hard_time
17,1,1,14,21,1595392,726592,548561,133978,199344,142304,0.2442,949,c4c5,hard_time
17,1,2,14,21,1618944,737188,554210,135392,201537,144356,0.2443,949,c4c5,hard_time
18,1,0,10,15,1774592,780155,518157,118516,193692,147964,0.2287,952,h6h7,hard_time
18,1,1,10,15,1774592,780155,518157,118516,193692,147964,0.2287,949,h6h7,hard_time
18,1,2,10,15,1774592,780155,518157,118516,193692,147964,0.2287,951,h6h7,hard_time
19,1,0,10,17,1976320,916419,460023,144279,161112,104148,0.3136,950,d1d3,hard_time
19,1,1,10,17,1958912,907976,456260,143907,159575,102707,0.3154,949,d1d3,hard_time
19,1,2,10,17,1996800,925889,465532,145174,163393,106282,0.3118,950,d1d3,hard_time
20,1,0,12,17,1610752,702883,541708,170971,183946,127528,0.3156,949,e4e6,hard_time
20,1,1,12,17,1601536,698759,537166,170452,182398,126023,0.3173,950,e4e6,hard_time
20,1,2,12,17,1607680,701392,540441,170924,183526,127122,0.3163,949,e4e6,hard_time
21,1,0,13,18,1180380,468424,419329,136849,191091,134544,0.3264,706,d5d6,soft_time
21,1,1,13,18,1180380,468424,419329,136849,191091,134544,0.3264,705,d5d6,soft_time
21,1,2,13,18,1180380,468424,419329,136849,191091,134544,0.3264,707,d5d6,soft_time
22,1,0,11,19,1424384,567293,671546,184443,291988,228570,0.2747,950,g4g5,hard_time
22,1,1,11,19,1403904,559292,660596,181849,287101,223754,0.2753,951,g4g5,hard_time
22,1,2,11,19,1399808,557602,658518,181341,286178,222866,0.2754,949,g4g5,hard_time
23,1,0,11,21,1531904,745684,501350,93542,168886,113593,0.1866,949,f4f5,hard_time
23,1,1,11,21,1526784,742877,499174,93306,168263,113011,0.1869,949,f4f5,hard_time
23,1,2,11,21,1523712,741391,498139,93118,167975,112733,0.1869,950,f4f5,hard_time
24,1,0,12,22,1455104,737991,504383,93730,163059,112527,0.1858,950,c6a8,hard_time
24,1,1,12,22,1439744,730130,499804,93096,161512,111088,0.1863,950,c6a8,hard_time
24,1,2,12,22,1447936,734131,502138,93413,162422,111927,0.1860,952,c6a8,hard_time
25,1,0,10,16,1482752,693093,453846,87106,177857,123156,0.1919,950,h6h5,hard_time
25,1,1,10,16,1482752,693093,453846,87106,177857,123156,0.1919,949,h6h5,hard_time
25,1,2,10,16,1490944,696971,456981,87437,178901,124151,0.1913,951,h6h5,hard_time
26,1,0,8,17,1647616,853328,480275,55920,148487,98874,0.1164,950,c5d3,hard_time
26,1,1,8,17,1611776,834210,471640,55379,146169,96673,0.1174,950,c5d3,hard_time
26,1,2,8,17,1611776,834210,471640,55379,146169,96673,0.1174,950,c5d3,hard_time
27,1,0,7,19,1539072,918554,413574,26866,89743,50626,0.0650,950,d1c3,hard_time
27,1,1,7,19,1533952,915561,412440,26797,89435,50343,0.0650,951,d1c3,hard_time
